D_finantare,An_finantare,Suma_solicitata,Punctaj_proiect,S_finantata,U_finantate,Total_finantare_u
D1-EA,2023,400000,83,200000,45,11208100
D2-I,2023,400000,80.67,220000,46,12030500
D3-GB,2023,400000,85.17,260000,45,12440400
D4-SAS,2023,250000,80.67,125000,44,6087000
D5-CALI,2023,400000,83.17,320000,44,11587000
D6-CER,2023,400000,87,284000,42,10996000
D7-PM,2023,250000,83,150000,39,6153000
D1-EA,2022,400000,86.17,176000,46,9400000
D2-I,2022,400000,84.33,280000,44,12384000
D3-GB,2022,400000,83.67,240000,43,11700000
D4-SAS,2022,250000,80.17,138000,40,6201000
D5-CALI,2022,400000,80.17,296000,40,12379000
D6-CER,2022,400000,78.83,200000,44,12400000
D7-PM,2022,250000,82,138000,38,5556000
D1-EA,2021,400000,85.17,288000,46,12700000
D2-I,2021,400000,83,240000,45,12800000
D3-GB,2021,400000,82.25,288000,36,11705000
D4-SAS,2021,250000,75.83,133000,36,6212000
D5-CALI,2021,400000,82,360000,3,12795000
D6-CER,2021,400000,83.17,280000,41,12788000
D7-PM,2021,0,0,0,0,0
D1-EA,2020,400000,84.33,340000,41,12110000
D2-I,2020,400000,85.83,349000,46,13836000
D3-GB,2020,400000,84.83,290000,37,11609000
D4-SAS,2020,250000,76.33,170000,36,6160000
D5-CALI,2020,400000,81.17,320000,44,11880000
D6-CER,2020,400000,77.5,320000,40,13327000
D7-PM,2020,0,0,0,0,0
D1-EA,2019,400000,81.67,200000,43,10199000
D2-I,2019,400000,84.33,239500,46,11495000
D3-GB,2019,400000,79.67,261000,34,9715100
D4-SAS,2019,250000,74,0,32,5123000
D5-CALI,2019,400000,76.17,261000,36,10197000
D6-CER,2019,400000,82.33,240000,39,11564500
D7-PM,2019,0,0,0,0,0
D1-EA,2018,400000,76,200000,33,8216000
D2-I,2018,400000,85.17,285000,36,9030000
D3-GB,2018,400000,77.33,240000,26,7904000
D4-SAS,2018,250000,79.5,106000,28,3049600
D5-CALI,2018,400000,76.5,0,29,8167000
D6-CER,2018,400000,74.33,0,29,8994000
D7-PM,2018,0,0,0,0,0
D1-EA,2017,400000,76,0,18,3396000
D2-I,2017,400000,71.67,0,19,3625700
D3-GB,2017,400000,83.5,0,18,3456000
D4-SAS,2017,250000,74,0,15,1248000
D5-CALI,2017,400000,70.65,0,20,3490000
D6-CER,2017,400000,79,0,21,3498000
D7-PM,2017,0,0,0,0,0
D1-EA,2016,400000,0,0,26,4739000
D2-I,2016,400000,0,0,23,4509000
D3-GB,2016,400000,0,0,10,4592000
D4-SAS,2016,250000,0,0,0,0
D5-CALI,2016,400000,0,0,0,0
D6-CER,2016,400000,0,0,0,0
D7-PM,2016,0,0,0,0,0
